Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3, C7",0805,3,10µF,C15850
"C10, C9",0402,2,22pF,C2176129
"C11, C12, C14, C15, C17, C18, C19, C2, C20, C32, C8",0402,11,100nF,C1525
"C13, C16",0402,2,1µF,C14445
C4,1206,1,44µF,C76659
C5,0402,1,47nF,C285062
C6,0402,1,4.7µF,C23733
J1,TH_2P-XT60PW-F,1,XT60PW-F_C428722,C428722
J2,CONN-TH_HX25418-3WA,1,HX25418-3WA,C704579
J3,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,C32713270
J6,PinSocket_2x04_P2.54mm_Horizontal,1,Conn_02x04_Odd_Even,C19268754
L1,0402,1,1µH,C531288
OLED1,OLED-TH_L38.0-W12.0_HS91L02W2C01,1,HS91L02W2C01,C5248081
"R1, R16, R17, R18, R19, R5",0402,6,5.1kΩ,C2906874
"R10, R20, R6, R7, R8",0402,5,10KΩ,C60490
"R11, R14",0402,2,1KΩ,C106235
"R12, R13",0402,2,27Ω,C138021
R2,0402,1,200KΩ,C114763
R3,1206,1,10mΩ,C7467248
R4,0402,1,1.3MΩ,C203121
R9,1206,1,300Ω,C3013269
SW1,SW-TH_SS-12D11G5R,1,SS-12D11G5R,C388633
"SW4, SW5",SW-TH_MT-0-102-C004-N004-RS,2,MT-0-102-C004-N004-RS,C1788496
"SW6, SW7, SW8, SW9",SW-TH_2AS3T1A1M2QES,4,2AS3T1A1M2QES,C908284
U1,TDFN-14-1EP_3x3mm_P0.4mm_EP1.78x2.35mm,1,MAX17261xxTD,C7457893
U2,SOT-223-3_TabPin2,1,AMS1117-3.3,C347222
U3,Texas_RGE0024H_VQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,BQ25887RGE,C2761614
U4,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,C401671
U5,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,C2040
U8,JOYTICK-TH_YF16-DFL7.2-B5KO-45-10-B5KO-55--RG-A22,1,YF16-DFL7.2-B5KO(45-10)B5KO(55)-RG-A22,C37323741
U9,JOYTICK-TH_YF16-DFL7.2-B5KO-45-10-B5KO-55--RG-A22,1,YF16-FL7.2-B5KA(45-10)-R-A28,C37323739
USB1,USB-SMD_GT-USB-7070A01,1,GT-USB-7070A01,C5446865
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
