Designator,Mid X,Mid Y,Rotation,Layer
C1,136.7,-115.65,180.0,bottom
C10,67.8,-157.4,90.0,bottom
C11,66.25,-155.1325,270.0,bottom
C12,69.35,-141.35,90.0,bottom
C13,64.75,-142.65,90.0,bottom
C14,74.15,-149.75,0.0,bottom
C15,67.35,-155.1325,90.0,bottom
C16,63.25,-144.35,0.0,bottom
C17,60.2,-150.3,180.0,bottom
C18,60.85,-146.15,0.0,bottom
C19,68.25,-141.45,270.0,bottom
C2,128.7375,-140.452226,270.0,bottom
C20,74.15,-145.9,180.0,bottom
C3,138.7,-125.35,180.0,bottom
C32,60.85,-145.05,0.0,bottom
C4,142.8375,-135.575,0.0,bottom
C5,140.3,-133.1,180.0,bottom
C6,139.1875,-131.425,270.0,bottom
C7,140.8375,-140.575,0.0,bottom
C8,76.85,-139.35,270.0,bottom
C9,70.45,-159.55,180.0,bottom
J1,141.25,-166.3,270.0,bottom
J2,145.55,-152.5,90.0,bottom
J3,56.0,-133.5,180.0,bottom
J6,99.79,-147.48,270.0,top
L1,140.7875,-138.425,270.0,bottom
OLED1,83.7,-167.1,0.0,top
R1,54.95,-108.59,180.0,bottom
R10,70.2,-132.2,180.0,bottom
R11,69.25,-134.45,270.0,bottom
R12,67.05,-141.85,90.0,bottom
R13,65.85,-141.85,90.0,bottom
R14,69.65,-154.85,0.0,bottom
R16,79.5,-170.9,0.0,bottom
R17,76.45,-150.35,270.0,bottom
R18,77.75,-150.3475,270.0,bottom
R19,79.5,-168.4,0.0,bottom
R2,127.6875,-140.902226,90.0,bottom
R20,63.0,-155.7,180.0,bottom
R3,125.1,-144.3,180.0,bottom
R4,126.5875,-140.002226,270.0,bottom
R5,61.45,-109.29,180.0,bottom
R6,132.6875,-136.875,180.0,bottom
R7,132.6875,-137.925,180.0,bottom
R8,134.4375,-133.325,270.0,bottom
R9,137.4875,-130.525,270.0,bottom
SW1,139.75,-107.25,0.0,top
SW4,113.9,-112.2025,180.0,top
SW5,85.6,-112.2025,180.0,top
SW6,82.5,-146.0,0.0,top
SW7,89.5,-146.0,0.0,top
SW8,110.0,-146.0,0.0,top
SW9,117.0,-146.0,0.0,top
U1,131.25,-144.052226,0.0,bottom
U2,142.0,-120.75,0.0,bottom
U3,137.375,-136.125,180.0,bottom
U4,73.45,-137.85,180.0,bottom
U5,67.5625,-148.75,90.0,bottom
U8,73.3925,-120.9975,180.0,top
U9,125.72,-120.2975,90.0,top
USB1,58.0,-103.64,180.0,bottom
Y1,70.5,-157.1,180.0,bottom
