Designator,Footprint,Quantity,Value,LCSC Part #
AE1,SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm,1,Antenna,C497017
C21,0402,1,1nF,C106205
C22,0402,1,33nF,C106862
C23,0402,1,10nF,C15195
C24,0402,1,100nF,C1525
C25,0805,1,10µF,C15850
C26,0402,1,2.2nF,C126534
"C27, C28",0402,2,22pF,C2176129
C29,0402,1,4.7pF,C189469
C30,0402,1,1.5pF,C133413
C31,0402,1,1pF,C309455
J4,SMA-TH_BWSMA-KWE-Z001,1,BWSMA-KWE-Z001,C496551
J5,PinHeader_2x04_P2.54mm_Horizontal,1,Conn_02x04_Odd_Even,C7501296
L2,0402,1,8.2nH,C98066
L3,0402,1,2.7nH,C142181
L4,0402,1,3.9nH,C186820
R15,0402,1,22kΩ,C2909337
U6,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,1,nRF24L01P,C8791
U7,QFN-16_L3.0-W3.0-P0.50-BL-EP1.7,1,RFX2401C,C19213
Y2,Crystal_Round_D3.0mm_Vertical,1,16MHz,C2836024
