Designator,Mid X,Mid Y,Rotation,Layer
C21,159.697129,-79.799155,0.0,top
C22,160.447129,-81.549155,90.0,top
C23,158.947129,-81.549155,90.0,top
C24,159.697129,-68.799155,90.0,top
C25,159.197129,-72.549155,90.0,top
C26,168.697129,-75.299155,180.0,top
C27,168.697129,-77.799155,0.0,top
C28,168.447129,-82.799155,0.0,top
C29,168.697129,-76.549155,180.0,top
C30,163.447129,-72.049155,270.0,top
C31,161.447129,-71.549155,0.0,top
J4,163.697129,-60.959155,90.0,top
J5,163.697129,-87.909155,270.0,top
L2,163.947129,-76.549155,0.0,top
L3,166.697129,-77.049155,270.0,top
L4,163.447129,-74.549155,90.0,top
R15,160.447129,-77.799155,270.0,top
U6,163.697129,-79.799155,180.0,top
U7,162.697129,-68.549155,90.0,top
Y2,168.697129,-80.299155,90.0,top
